broker_id,broker_name,buy,sell,net,net_lot
5850,統一,1131041,663029,468012,468.0
9667,富邦台南,450014,69400,380614,380.6
8440,摩根大通,2137000,1767000,370000,370.0
1560,港商野村,675000,407000,268000,268.0
9B15,台新松江,287164,71764,215400,215.4
8882,國泰台中,659088,446749,212339,212.3
9200,凱基,309150,111000,198150,198.2
9326,華南南京,380983,185646,195337,195.3
585c,統一仁愛,222251,33515,188736,188.7
845F,康和仁愛,227100,51044,176056,176.1
779Z,國票安和,429171,257414,171757,171.8
9100,群益,1080913,927207,153706,153.7
8842,玉山新莊,272290,118906,153384,153.4
616A,中信中壢,233705,85555,148150,148.2
989I,元大蘆中,195400,51152,144248,144.2
9A8F,永豐敦南,333634,190190,143444,143.4
9871,元大忠孝,244220,114222,129998,130.0
981B,元大竹北,201303,73171,128132,128.1
9676,富邦仁愛,273002,146463,126539,126.5
9879,元大板三,166356,59021,107335,107.3
