securities_trader,price,buy,sell,securities_trader_id,stock_id,date
元大彰化,200.5,0,1000,981G,2603,2026-04-23
元大彰化,203.5,1000,0,981G,2603,2026-04-23
元大佳里,203.0,200,0,981e,2603,2026-04-23
元大發財,200.0,3000,300,981E,2603,2026-04-23
元大大里,203.5,105,0,981g,2603,2026-04-23
元大屏生,200.5,250,0,981h,2603,2026-04-23
元大大里,202.5,1000,0,981g,2603,2026-04-23
元大發財,203.0,100,0,981E,2603,2026-04-23
元大大里,200.0,1095,4000,981g,2603,2026-04-23
元大福營,204.5,0,1000,981F,2603,2026-04-23
元大福營,203.0,0,50,981F,2603,2026-04-23
元大福營,201.0,30,0,981F,2603,2026-04-23
元大福營,200.0,70,24,981F,2603,2026-04-23
元大發財,202.0,0,50,981E,2603,2026-04-23
元大大里,201.0,20,400,981g,2603,2026-04-23
元大佳里,202.0,20,0,981e,2603,2026-04-23
永豐匯立,203.5,0,1000,9A81,2603,2026-04-23
元大南投,203.0,2500,49,981D,2603,2026-04-23
元大大灣,204.0,0,1000,9815,2603,2026-04-23
元大新竹,200.5,0,100,9816,2603,2026-04-23
元大新竹,203.5,0,60,9816,2603,2026-04-23
元大東泰,200.5,100,2000,9817,2603,2026-04-23
元大東泰,202.0,100,0,9817,2603,2026-04-23
元大東泰,203.5,0,1000,9817,2603,2026-04-23
元大歸仁,200.5,0,1,981a,2603,2026-04-23
元大歸仁,203.5,0,2090,981a,2603,2026-04-23
元大三峽,200.5,0,5000,981A,2603,2026-04-23
元大三峽,202.0,2000,0,981A,2603,2026-04-23
元大竹北,200.0,100,1000,981B,2603,2026-04-23
元大竹北,202.0,1100,1000,981B,2603,2026-04-23
元大屏生,202.0,0,88,981h,2603,2026-04-23
元大路竹,200.5,0,100,981C,2603,2026-04-23
元大南投,200.0,200,100,981D,2603,2026-04-23
元大佳里,200.0,1700,1000,981e,2603,2026-04-23
元大大灣,202.0,10,0,9815,2603,2026-04-23
元大屏生,203.5,1000,0,981h,2603,2026-04-23
元大天母,201.0,1001,350,981I,2603,2026-04-23
元大四維,200.0,2010,1000,9831,2603,2026-04-23
元大六合,204.0,0,2000,982C,2603,2026-04-23
元大六合,202.5,25,0,982C,2603,2026-04-23
元大六合,200.5,4,600,982C,2603,2026-04-23
元大六合,199.5,0,3000,982C,2603,2026-04-23
元大博愛,203.5,0,1000,982B,2603,2026-04-23
元大博愛,202.0,115,0,982B,2603,2026-04-23
元大博愛,200.5,403,2000,982B,2603,2026-04-23
元大羅東,201.0,50,0,982A,2603,2026-04-23
元大羅東,199.5,1000,0,982A,2603,2026-04-23
元大永康,201.0,1000,200,9829,2603,2026-04-23
元大新營,203.5,1000,0,9825,2603,2026-04-23
元大新營,201.0,0,1000,9825,2603,2026-04-23
元大新營,200.0,20,0,9825,2603,2026-04-23
元大向上,200.5,0,100,9824,2603,2026-04-23
元大四維,201.0,90,0,9831,2603,2026-04-23
元大學府,202.0,100,0,9822,2603,2026-04-23
元大四維,202.0,10,0,9831,2603,2026-04-23
元大敦化,201.5,1000,0,9833,2603,2026-04-23
元大上新,202.0,1000,0,983G,2603,2026-04-23
元大上新,199.5,20000,0,983G,2603,2026-04-23
元大竹東,200.0,1000,0,983f,2603,2026-04-23
元大林森,201.5,250,0,983B,2603,2026-04-23
元大豐原,203.5,0,1000,9838,2603,2026-04-23
元大豐原,202.0,100,211,9838,2603,2026-04-23
元大北港,203.5,0,1000,9837,2603,2026-04-23
元大北港,201.0,0,1000,9837,2603,2026-04-23
元大中山,202.0,100,0,9835,2603,2026-04-23
元大中山,200.0,10,2030,9835,2603,2026-04-23
元大中壢,203.5,30,0,9834,2603,2026-04-23
元大中壢,202.5,1005,310,9834,2603,2026-04-23
元大中壢,201.0,1000,0,9834,2603,2026-04-23
元大中壢,200.0,4505,0,9834,2603,2026-04-23
元大敦化,204.0,0,1000,9833,2603,2026-04-23
元大敦化,199.5,1000,0,9833,2603,2026-04-23
元大西螺,200.5,30,20,981i,2603,2026-04-23
元大學府,200.5,0,1000,9822,2603,2026-04-23
元大潮州,201.0,0,2000,981Z,2603,2026-04-23
元大松山,200.5,500,0,981p,2603,2026-04-23
元大金門,202.0,50,0,981N,2603,2026-04-23
元大金門,200.5,100,2000,981N,2603,2026-04-23
元大旗山,204.0,0,3000,981n,2603,2026-04-23
元大旗山,201.0,100,2000,981n,2603,2026-04-23
元大旗山,200.0,100,400,981n,2603,2026-04-23
元大苗栗,203.0,100,100,981M,2603,2026-04-23
元大前金,202.5,100,0,981m,2603,2026-04-23
元大前金,201.0,3000,10,981m,2603,2026-04-23
元大前金,200.0,2180,1002,981m,2603,2026-04-23
元大莒光,200.5,1,0,981L,2603,2026-04-23
元大莒光,199.5,2000,0,981L,2603,2026-04-23
元大林園,200.0,1040,0,981K,2603,2026-04-23
元大士林,203.0,0,85,981j,2603,2026-04-23
元大天母,202.5,60,0,981I,2603,2026-04-23
元大松山,202.0,5000,0,981p,2603,2026-04-23
元大潮州,203.0,0,100,981Z,2603,2026-04-23
元大松山,203.5,0,5000,981p,2603,2026-04-23
元大太平,200.0,65,0,981Q,2603,2026-04-23
元大大統,204.0,1000,0,981z,2603,2026-04-23
元大大統,202.5,0,1000,981z,2603,2026-04-23
元大大統,201.0,100,0,981z,2603,2026-04-23
元大大統,200.0,4060,1050,981z,2603,2026-04-23
元大善化,203.0,0,40,981y,2603,2026-04-23
元大善化,200.5,230,2190,981y,2603,2026-04-23
元大新生,200.0,1000,0,981X,2603,2026-04-23
元大華山,200.5,9,1,981U,2603,2026-04-23
元大崇德,203.5,1000,1000,981S,2603,2026-04-23
元大崇德,201.0,100,0,981S,2603,2026-04-23
元大竹山,203.0,0,35,981R,2603,2026-04-23
元大竹山,200.0,150,0,981R,2603,2026-04-23
元大屏南,201.0,0,1000,981r,2603,2026-04-23
元大屏南,200.0,1035,0,981r,2603,2026-04-23
元大太平,201.0,0,1000,981Q,2603,2026-04-23
元大萬華,202.0,500,0,981q,2603,2026-04-23
元大大灣,200.5,0,600,9815,2603,2026-04-23
元大大灣,199.5,0,160,9815,2603,2026-04-23
元大大益,203.0,30,0,9814,2603,2026-04-23
富邦高雄,200.5,1108,200,9659,2603,2026-04-23
富邦建國,204.0,0,1000,9658,2603,2026-04-23
富邦建國,203.0,0,2000,9658,2603,2026-04-23
富邦建國,200.5,0,3000,9658,2603,2026-04-23
富邦建國,199.5,3010,0,9658,2603,2026-04-23
富邦苗栗,200.5,1009,1000,9657,2603,2026-04-23
富邦板橋,204.5,0,2000,9655,2603,2026-04-23
富邦板橋,203.5,2000,1000,9655,2603,2026-04-23
富邦板橋,202.0,1000,0,9655,2603,2026-04-23
富邦板橋,201.0,3200,0,9655,2603,2026-04-23
富邦板橋,200.0,5170,6000,9655,2603,2026-04-23
富邦永和,204.5,2000,0,9654,2603,2026-04-23
富邦永和,203.0,2000,1500,9654,2603,2026-04-23
富邦永和,201.0,5000,0,9654,2603,2026-04-23
富邦永和,200.0,1462,500,9654,2603,2026-04-23
富邦高雄,202.0,10,1000,9659,2603,2026-04-23
富邦新竹,204.5,0,1000,9647,2603,2026-04-23
富邦高雄,203.5,0,3100,9659,2603,2026-04-23
富邦台中,200.5,0,3001,965K,2603,2026-04-23
富邦桃園,203.5,2000,0,9665,2603,2026-04-23
富邦桃園,202.5,16,0,9665,2603,2026-04-23
富邦桃園,201.5,100,0,9665,2603,2026-04-23
富邦桃園,200.5,10,3000,9665,2603,2026-04-23
富邦敦南,203.5,5000,2000,9663,2603,2026-04-23
富邦敦南,202.5,0,1000,9663,2603,2026-04-23
富邦敦南,200.0,3100,102,9663,2603,2026-04-23
富邦新店,203.5,0,100,9661,2603,2026-04-23
富邦新店,202.5,100,0,9661,2603,2026-04-23
富邦新店,201.0,100,0,9661,2603,2026-04-23
富邦新店,200.0,1215,1100,9661,2603,2026-04-23
富邦彰化,203.5,0,100,965U,2603,2026-04-23
富邦彰化,200.5,3,2043,965U,2603,2026-04-23
富邦台中,203.5,0,2000,965K,2603,2026-04-23
富邦台中,202.5,0,1000,965K,2603,2026-04-23
富邦台中,199.5,0,1000,965K,2603,2026-04-23
富邦南屯,200.5,2100,5000,9666,2603,2026-04-23
富邦新竹,202.0,22,0,9647,2603,2026-04-23
富邦新竹,200.0,2026,11200,9647,2603,2026-04-23
富邦新莊,200.0,100,46,962D,2603,2026-04-23
富邦竹科,203.5,0,1100,962C,2603,2026-04-23
富邦竹科,201.0,1005,1000,962C,2603,2026-04-23
富邦竹科,200.0,0,1000,962C,2603,2026-04-23
富邦二林,202.5,1000,0,962B,2603,2026-04-23
富邦二林,200.0,0,500,962B,2603,2026-04-23
富邦南港,203.0,0,20,962A,2603,2026-04-23
富邦南港,200.5,0,6650,962A,2603,2026-04-23
富邦南港,199.5,0,1000,962A,2603,2026-04-23
富邦內湖,203.0,1150,125,9627,2603,2026-04-23
富邦內湖,202.0,0,10400,9627,2603,2026-04-23
富邦內湖,201.0,250,1000,9627,2603,2026-04-23
富邦內湖,200.0,181,1250,9627,2603,2026-04-23
富邦竹東,201.0,0,1000,9625,2603,2026-04-23
富邦竹東,200.0,4000,2000,9625,2603,2026-04-23
富邦新莊,201.5,1000,0,962D,2603,2026-04-23
富邦新竹,201.0,1010,0,9647,2603,2026-04-23
富邦新莊,203.5,0,1000,962D,2603,2026-04-23
富邦樹林,202.5,0,100,962E,2603,2026-04-23
富邦八德,203.0,200,0,963A,2603,2026-04-23
富邦八德,201.0,1000,0,963A,2603,2026-04-23
富邦八德,200.0,5,1500,963A,2603,2026-04-23
富邦中壢,203.0,11,0,9636,2603,2026-04-23
富邦中壢,201.0,1450,1000,9636,2603,2026-04-23
富邦中壢,200.0,2500,4101,9636,2603,2026-04-23
富邦羅東,203.0,1000,0,9634,2603,2026-04-23
富邦羅東,200.5,100,10,9634,2603,2026-04-23
富邦羅東,199.5,1000,0,9634,2603,2026-04-23
富邦北高,200.0,1000,0,962Q,2603,2026-04-23
富邦頭份,202.0,0,100,962P,2603,2026-04-23
富邦頭份,200.0,3000,200,962P,2603,2026-04-23
富邦三峽,200.5,1,6,962J,2603,2026-04-23
富邦斗六,201.0,1000,0,962G,2603,2026-04-23
富邦斗六,200.0,1000,0,962G,2603,2026-04-23
富邦樹林,200.5,0,2000,962E,2603,2026-04-23
富邦南屯,203.5,1000,0,9666,2603,2026-04-23
富邦台南,199.5,2000,0,9667,2603,2026-04-23
富邦台南,200.5,0,1000,9667,2603,2026-04-23
元大竹科,200.5,1050,2200,980K,2603,2026-04-23
元大竹科,199.5,2000,4000,980K,2603,2026-04-23
元大台北,202.0,50,0,980h,2603,2026-04-23
元大台北,200.0,9100,1040,980h,2603,2026-04-23
元大清水,202.5,300,0,980e,2603,2026-04-23
元大北府,204.0,1000,1000,980D,2603,2026-04-23
元大北府,202.0,1000,0,980D,2603,2026-04-23
元大北府,200.5,0,2500,980D,2603,2026-04-23
元大北府,199.5,0,1000,980D,2603,2026-04-23
元大沙鹿,203.0,100,50,980d,2603,2026-04-23
元大沙鹿,200.5,51120,0,980d,2603,2026-04-23
元大斗六,204.0,0,1000,980C,2603,2026-04-23
元大斗六,203.0,0,1,980C,2603,2026-04-23
元大斗六,202.0,1000,0,980C,2603,2026-04-23
元大斗六,200.0,5240,200,980C,2603,2026-04-23
元大竹科,202.5,1000,0,980K,2603,2026-04-23
元大中北,202.0,14,0,980a,2603,2026-04-23
元大虎尾,200.0,1225,0,980l,2603,2026-04-23
元大虎尾,202.5,100,0,980l,2603,2026-04-23
元大大益,200.0,300,2000,9814,2603,2026-04-23
元大中崙,203.0,0,60,9813,2603,2026-04-23
元大中崙,200.0,0,50,9813,2603,2026-04-23
元大台中,203.0,1300,0,9812,2603,2026-04-23
元大台中,200.0,2200,0,9812,2603,2026-04-23
元大西屯,204.0,0,1000,980w,2603,2026-04-23
元大西屯,201.0,50,1000,980w,2603,2026-04-23
元大西屯,200.0,4410,0,980w,2603,2026-04-23
元大府城,204.5,0,2000,980u,2603,2026-04-23
元大府城,202.0,2,0,980u,2603,2026-04-23
元大府城,200.0,0,10,980u,2603,2026-04-23
元大南海,201.0,0,1000,980R,2603,2026-04-23
元大南崁,203.5,0,2000,980Q,2603,2026-04-23
元大南崁,202.5,5000,0,980Q,2603,2026-04-23
元大虎尾,203.5,0,1000,980l,2603,2026-04-23
元大虎尾,201.5,1000,0,980l,2603,2026-04-23
元大中北,200.5,9005,25,980a,2603,2026-04-23
元大松江,203.5,0,2000,9801,2603,2026-04-23
元大松江,202.5,10000,0,9801,2603,2026-04-23
富邦三重,202.0,1000,0,9677,2603,2026-04-23
富邦三重,201.0,0,3000,9677,2603,2026-04-23
富邦三重,200.0,2000,2000,9677,2603,2026-04-23
富邦仁愛,203.5,3000,200,9676,2603,2026-04-23
富邦仁愛,202.5,1000,3300,9676,2603,2026-04-23
富邦仁愛,201.0,2140,1400,9676,2603,2026-04-23
富邦仁愛,200.0,6534,8350,9676,2603,2026-04-23
富邦員林,203.5,0,37,9672,2603,2026-04-23
富邦員林,202.0,0,100,9672,2603,2026-04-23
富邦員林,200.0,2065,0,9672,2603,2026-04-23
富邦左營,203.0,0,1000,966F,2603,2026-04-23
富邦左營,201.5,1000,0,966F,2603,2026-04-23
富邦左營,200.0,1010,9000,966F,2603,2026-04-23
富邦台南,204.5,0,36000,9667,2603,2026-04-23
富邦台南,202.5,0,1000,9667,2603,2026-04-23
富邦三重,204.5,1000,0,9677,2603,2026-04-23
富邦宜蘭,200.5,1010,1000,9686,2603,2026-04-23
富邦宜蘭,201.5,1000,0,9686,2603,2026-04-23
富邦宜蘭,203.0,0,100,9686,2603,2026-04-23
元大松江,200.0,14000,1000,9801,2603,2026-04-23
元大,204.0,243000,12000,9800,2603,2026-04-23
元大,203.0,15010,401001,9800,2603,2026-04-23
元大,202.0,16020,47000,9800,2603,2026-04-23
元大,201.0,86030,15000,9800,2603,2026-04-23
元大,200.0,338220,78013,9800,2603,2026-04-23
富邦北港,202.0,1000,0,969C,2603,2026-04-23
元大大雅,199.5,5000,0,983i,2603,2026-04-23
富邦北港,200.5,50,2000,969C,2603,2026-04-23
富邦虎尾,200.0,2023,0,9697,2603,2026-04-23
富邦新營,202.5,1000,0,9693,2603,2026-04-23
富邦新營,200.0,1008,0,9693,2603,2026-04-23
富邦嘉義,203.0,200,10,9692,2603,2026-04-23
富邦嘉義,202.0,20000,1030,9692,2603,2026-04-23
富邦嘉義,201.0,1010,0,9692,2603,2026-04-23
富邦嘉義,200.0,210,6100,9692,2603,2026-04-23
富邦虎尾,203.5,1000,0,9697,2603,2026-04-23
元大大雅,200.5,5120,8050,983i,2603,2026-04-23
元大新中,202.0,2000,0,984C,2603,2026-04-23
元大仁愛,200.5,1030,0,983j,2603,2026-04-23
元大樹林,199.5,0,1000,989j,2603,2026-04-23
元大樹林,202.5,0,400,989j,2603,2026-04-23
元大樹林,203.5,0,1000,989j,2603,2026-04-23
元大彰生,203.0,0,1000,989J,2603,2026-04-23
元大古亭,200.5,0,1000,989k,2603,2026-04-23
元大成功,200.0,4000,1300,989L,2603,2026-04-23
元大成功,201.0,0,2000,989L,2603,2026-04-23
元大成功,203.0,0,1000,989L,2603,2026-04-23
元大內湖,199.5,4000,0,989N,2603,2026-04-23
元大內湖,200.5,2062,1000,989N,2603,2026-04-23
元大內湖,202.0,300,0,989N,2603,2026-04-23
元大內湖,203.0,4704,250,989N,2603,2026-04-23
元大內湖,204.0,1000,0,989N,2603,2026-04-23
元大敦南,200.5,0,1000,989P,2603,2026-04-23
元大敦南,201.5,1002,0,989P,2603,2026-04-23
元大敦南,203.5,4100,200,989P,2603,2026-04-23
元大汐止,200.5,70,0,989Q,2603,2026-04-23
元大汐止,202.0,300,0,989Q,2603,2026-04-23
元大汐止,203.0,1250,300,989Q,2603,2026-04-23
元大鹿港,199.5,0,1000,989S,2603,2026-04-23
元大鹿港,203.0,0,24,989S,2603,2026-04-23
